iceciCode	Parent(s)	Title	baseExclusion	baseInclusion	relevantEntity
C.3.11.05.28	C.3.11.05	Personal protective equipment (PPE) NEC			
C.3.11.05.30	C.3.11.05	Fire extinguisher			
C.3.11.05.98	C.3.11.05	Other specified unpowered equipment			
C.3.11.05.99	C.3.11.05	Unspecified unpowered equipment			
C.3.11.98	C.3.11	Other specified tool, machine, apparatus, mainly used for work-related activities			
C.3.11.98.01	C.3.11.98	Mechanical power transmission device			
C.3.11.98.98	C.3.11.98	Other specified tool, machine, apparatus			
C.3.11.99	C.3.11	unspecified tool, machine, apparatus, mainly used for work-related activities			
C.3.12	C.3	Weapon			
C.3.12.01	C.3.12	Sharp object			
C.3.12.01.01	C.3.12.01	Spear, javelin designed as weapon			
C.3.12.01.05	C.3.12.01	Arrow (bow and arrow) or bolt (crossbow) designed as weapon			
C.3.12.01.10	C.3.12.01	Knife designed as weapon			
C.3.12.01.15	C.3.12.01	Sword, dagger, bayonet, machete, panga, cutlass			
C.3.12.01.98	C.3.12.01	Other specified sharp object			
C.3.12.01.99	C.3.12.01	Unspecified sharp object			
C.3.12.02	C.3.12	Firearm or related item			
C.3.12.02.01	C.3.12.02	Bullet, pellet			
C.3.12.02.05	C.3.12.02	Hand gun			
C.3.12.02.10	C.3.12.02	Rifle			
C.3.12.02.15	C.3.12.02	Shotgun			
C.3.12.02.20	C.3.12.02	Airgun			
C.3.12.02.98	C.3.12.02	Other specified firearm or related item			
C.3.12.02.99	C.3.12.02	Unspecified firearm or related item			
C.3.12.98	C.3.12	Other specified weapon			
C.3.12.98.01	C.3.12.98	Club, cudgel, rod, knopkierie			
C.3.12.98.05	C.3.12.98	Electrical prod, stun gun			
C.3.12.98.10	C.3.12.98	Capsicum spray, mace, pepper spray			
C.3.12.98.98	C.3.12.98	Other specified weapon			
C.3.12.99	C.3.12	unspecified weapon			
C.3.13	C.3	Animal, plant, or person			
C.3.13.01	C.3.13	Plant			
C.3.13.01.03	C.3.13.01	Tree, plant			
C.3.13.01.05	C.3.13.01	Leaves, flowers			
C.3.13.01.13	C.3.13.01	Mushroom, toadstool, fungus			
C.3.13.01.25	C.3.13.01	Plant seed			
C.3.13.01.30	C.3.13.01	Fruit from plant			
C.3.13.01.34	C.3.13.01	Plant thorn			
C.3.13.01.35	C.3.13.01	Branch or stick (as separate from tree, plant)			
C.3.13.01.50	C.3.13.01	Venomous or toxic plant NEC			
C.3.13.01.98	C.3.13.01	Other specified plant			
C.3.13.01.99	C.3.13.01	Unspecified plant			
C.3.13.02	C.3.13	Bird			
C.3.13.02.01	C.3.13.02	Ostrich, emu			
C.3.13.02.05	C.3.13.02	Parrot, parakeet, cockatoo			
C.3.13.02.10	C.3.13.02	Raven, crow, magpie			
C.3.13.02.98	C.3.13.02	Other specified bird			
C.3.13.02.99	C.3.13.02	Unspecified bird			
C.3.13.03	C.3.13	Insect, invertebrate			
C.3.13.03.01	C.3.13.03	Bee			
C.3.13.03.05	C.3.13.03	Wasp			
C.3.13.03.10	C.3.13.03	Hornet			
C.3.13.03.15	C.3.13.03	Ant			
C.3.13.03.20	C.3.13.03	Spider			
C.3.13.03.25	C.3.13.03	Scorpion			
C.3.13.03.30	C.3.13.03	Tick			
C.3.13.03.35	C.3.13.03	Centipede, millipede			
C.3.13.03.98	C.3.13.03	Other specified insect, invertebrate			
C.3.13.03.99	C.3.13.03	Unspecified insect, invertebrate			
C.3.13.04	C.3.13	Land mammal			
C.3.13.04.01	C.3.13.04	Dog			
C.3.13.04.05	C.3.13.04	Cat			
C.3.13.04.10	C.3.13.04	Rat, guinea pig, mouse			
C.3.13.04.15	C.3.13.04	Pig, wild boar			
C.3.13.04.20	C.3.13.04	Sheep, goat			
C.3.13.04.25	C.3.13.04	Cow, bull, bovine animals			
C.3.13.04.30	C.3.13.04	Horse, pony, donkey, mule, ass			
C.3.13.04.35	C.3.13.04	Baboon, monkey, chimpanzee, gorilla			
C.3.13.04.40	C.3.13.04	Marsupials			
C.3.13.04.45	C.3.13.04	Deer, moose, antelope, zebra, wildebeest			
C.3.13.04.50	C.3.13.04	Hippopotamus			
C.3.13.04.55	C.3.13.04	land mammal: Lion, puma, panther, cougar, mountain lion, tiger			
C.3.13.04.60	C.3.13.04	Bear, grizzly bear, polar bear			
C.3.13.04.65	C.3.13.04	Elephant			
C.3.13.04.70	C.3.13.04	Buffalo, bison, African buffalo			
C.3.13.04.98	C.3.13.04	Other specified land mammal			
C.3.13.04.99	C.3.13.04	Unspecified land mammal			
C.3.13.05	C.3.13	Marine animal			
C.3.13.05.01	C.3.13.05	Shark			
C.3.13.05.05	C.3.13.05	Other fishes			
C.3.13.05.10	C.3.13.05	Sea snake			
C.3.13.05.15	C.3.13.05	Marine mammal			
C.3.13.05.20	C.3.13.05	Jellyfish			
C.3.13.05.25	C.3.13.05	Coral			
C.3.13.05.98	C.3.13.05	Other specified marine animal			
C.3.13.05.99	C.3.13.05	Unspecified marine animal			
C.3.13.06	C.3.13	Reptile or amphibian			
C.3.13.06.01	C.3.13.06	Non-venomous snake			
C.3.13.06.05	C.3.13.06	Venomous snake			
C.3.13.06.10	C.3.13.06	Snake, unspecified whether venomous or not			
C.3.13.06.15	C.3.13.06	Lizard, gecko, goanna			
C.3.13.06.20	C.3.13.06	Frog, toad			
C.3.13.06.25	C.3.13.06	Crocodile, alligator			
C.3.13.06.98	C.3.13.06	Other specified reptile or amphibian			
C.3.13.06.99	C.3.13.06	Unspecified reptile or amphibian			
C.3.13.07	C.3.13	Person(s)			
C.3.13.07.01	C.3.13.07	Person, self			
C.3.13.07.10	C.3.13.07	Crowd of people			
C.3.13.07.98	C.3.13.07	Other specified person			
C.3.13.07.99	C.3.13.07	Unspecified person			
C.3.13.98	C.3.13	other specified animal			
C.3.13.99	C.3.13	unspecified animal			
C.3.14	C.3	Building, building component, or related fitting			
C.3.14.01	C.3.14	Building fitting			
C.3.14.01.01	C.3.14.01	Flush toilet			
C.3.14.01.05	C.3.14.01	Pit latrine			
C.3.14.01.10	C.3.14.01	Bathtub			
C.3.14.01.15	C.3.14.01	Shower			
C.3.14.01.20	C.3.14.01	Fitted counter, counter-top, kitchen top			
C.3.14.01.98	C.3.14.01	Other specified building fitting			
C.3.14.01.99	C.3.14.01	Unspecified building fitting			
C.3.14.02	C.3.14	Door, window, or related fitting/feature			
C.3.14.02.01	C.3.14.02	Door, door sill			
C.3.14.02.05	C.3.14.02	Glass door			
C.3.14.02.10	C.3.14.02	Security door or gate, fly gate			
C.3.14.02.15	C.3.14.02	(Burglar) bars on windows			
C.3.14.02.20	C.3.14.02	Window			
C.3.14.02.25	C.3.14.02	Exterior window shutters			
C.3.14.02.98	C.3.14.02	Other specified door or window related fitting/feature			
C.3.14.02.99	C.3.14.02	Unspecified door or window related fitting/feature			
C.3.14.03	C.3.14	Floor or related fitting/feature			
C.3.14.03.01	C.3.14.03	Floor - carpeted			
C.3.14.03.05	C.3.14.03	Floor - tile, brick, concrete			
C.3.14.03.10	C.3.14.03	Floor - wood			
C.3.14.03.15	C.3.14.03	Floor - mud, clay, animal dung			
C.3.14.03.98	C.3.14.03	Other specified floor or relating fitting/feature			
C.3.14.03.99	C.3.14.03	Unspecified floor or related fitting/feature			
C.3.14.04	C.3.14	Wall or related fitting/feature			
C.3.14.04.01	C.3.14.04	Fireplace			
C.3.14.04.05	C.3.14.04	Built-in barbeque			
C.3.14.04.10	C.3.14.04	Wall - brick, concrete, tile			
C.3.14.04.15	C.3.14.04	Wall - wood			
C.3.14.04.20	C.3.14.04	Wall - mud, clay, animal dung			
C.3.14.04.98	C.3.14.04	Other specified wall or related fitting/feature			
C.3.14.04.99	C.3.14.04	Unspecified wall or related fitting/feature			
C.3.14.98	C.3.14	Other specified building, building component, or fitting			
C.3.14.98.01	C.3.14.98	In-ground swimming pool			
C.3.14.98.02	C.3.14.98	Above-ground swimming pool, external spa, or hot tub			
C.3.14.98.05	C.3.14.98	Fence, gate			
C.3.14.98.10	C.3.14.98	Moving ramp, escalator			
C.3.14.98.15	C.3.14.98	Lift, elevator			
C.3.14.98.16	C.3.14.98	Stairs, steps			
C.3.14.98.20	C.3.14.98	Handrail, railing, banister			
C.3.14.98.50	C.3.14.98	Electrical transmission line in or around building			
C.3.14.98.55	C.3.14.98	Fittings/pipes for gas, steam, hot water			
C.3.14.98.60	C.3.14.98	Electrical fixture			
C.3.14.98.61	C.3.14.98	Ducted air-conditioning unit or related fitting			
C.3.14.98.98	C.3.14.98	Other specified building, building component, or fitting			
C.3.14.99	C.3.14	Unspecified building, building component, or fitting			
C.3.15	C.3	Ground surface or surface conformation			
C.3.15.01	C.3.15	Ground surface			
C.3.15.01.01	C.3.15.01	Cliff			
C.3.15.01.05	C.3.15.01	Slope, ramp			
C.3.15.01.10	C.3.15.01	Trench, ditch, pit			
C.3.15.01.15	C.3.15.01	Sewer grate			
C.3.15.01.20	C.3.15.01	Open drain, channel			
C.3.15.01.98	C.3.15.01	Other specified ground surface			
C.3.15.01.99	C.3.15.01	Unspecified ground surface			
C.3.15.02	C.3.15	Body of water			
C.3.15.02.01	C.3.15.02	Man-made well, dug well for underground water			
C.3.15.02.05	C.3.15.02	Water reservoir			
C.3.15.02.15	C.3.15.02	Puddle			
C.3.15.02.20	C.3.15.02	Dam, lake			
C.3.15.02.25	C.3.15.02	River, stream			
C.3.15.02.30	C.3.15.02	Swamp, marsh			
C.3.15.02.35	C.3.15.02	Beach, seashore			
C.3.15.02.40	C.3.15.02	Open sea			
C.3.15.02.98	C.3.15.02	Other specified body of water			
C.3.15.02.99	C.3.15.02	Unspecified body of water			
C.3.15.98	C.3.15	Other specified surface conformation			
C.3.15.98.08	C.3.15.98	Sloping surface NEC			
C.3.15.98.18	C.3.15.98	Even surface NEC			
C.3.15.98.28	C.3.15.98	Uneven surface NEC			
C.3.15.98.98	C.3.15.98	Other specified surface conformation			
C.3.15.99	C.3.15	Unspecified surface conformation			
C.3.16	C.3	Material NEC			
C.3.16.01	C.3.16	Natural material			
C.3.16.01.01	C.3.16.01	Snow, ice			
C.3.16.01.05	C.3.16.01	Natural grass			
C.3.16.01.08	C.3.16.01	Rock, stone NEC			
C.3.16.01.10	C.3.16.01	Wood - timber, board, splinter NEC			
C.3.16.01.15	C.3.16.01	Gravel, soil, sand NEC			
C.3.16.01.19	C.3.16.01	Hay, straw			
C.3.16.01.20	C.3.16.01	Grain in bulk			
C.3.16.01.98	C.3.16.01	Other specified natural material			
C.3.16.01.99	C.3.16.01	Unspecified natural material			
C.3.16.02	C.3.16	Manufactured/industrial material			
C.3.16.02.01	C.3.16.02	Artificial grass			
C.3.16.02.05	C.3.16.02	Bitumen, asphalt			
C.3.16.02.08	C.3.16.02	Brick, concrete, concrete block			
C.3.16.02.10	C.3.16.02	Molten metal			
C.3.16.02.18	C.3.16.02	Metal - sheet, part, piece etc.			
C.3.16.02.28	C.3.16.02	China, ceramics - sheet, part, piece etc.			
C.3.16.02.30	C.3.16.02	Molten glass			
C.3.16.02.38	C.3.16.02	Glass - sheet, piece, shard, etc.			
C.3.16.02.58	C.3.16.02	Plastic			
C.3.16.02.68	C.3.16.02	Paper, cardboard, etc.			
C.3.16.02.98	C.3.16.02	Other specified manufactured/industrial material			
C.3.16.02.99	C.3.16.02	Unspecified manufactured/industrial material			
C.3.16.98	C.3.16	material not mentioned elsewhere			
C.3.16.99	C.3.16	Unspecified material, NEC			
C.3.17	C.3	Fire, flame, smoke			
C.3.17.01	C.3.17	Fire, flame			
C.3.17.01.01	C.3.17.01	Burning oil			
C.3.17.01.05	C.3.17.01	Other burning liquid			
C.3.17.01.10	C.3.17.01	Burning gas NEC			
C.3.17.01.15	C.3.17.01	Controlled fire, flame in building or structure			
C.3.17.01.20	C.3.17.01	Controlled fire, flame, not in building or structure			
C.3.17.01.25	C.3.17.01	Uncontrolled fire, flame in building or structure			
C.3.17.01.30	C.3.17.01	Uncontrolled fire, flame not in building or structure			
C.3.17.01.98	C.3.17.01	Other specified fire or flame			
C.3.17.01.99	C.3.17.01	Unspecified fire or flame			
C.3.17.02	C.3.17	Smoke			
C.3.17.99	C.3.17	Unspecified as to whether fire, flame, or smoke caused the injury			
C.3.18	C.3	Hot object/substance NEC	[C.3.19,C.3.17]		
C.3.18.01	C.3.18	Hot liquid			
C.3.18.01.01	C.3.18.01	Hot tap water			
C.3.18.01.05	C.3.18.01	Boiling water (other than tap water)			
C.3.18.01.98	C.3.18.01	Other specified hot liquid			
C.3.18.01.99	C.3.18.01	Unspecified hot liquid			
C.3.18.02	C.3.18	Hot air or gas			
C.3.18.02.01	C.3.18.02	Steam, hot vapour			
C.3.18.02.98	C.3.18.02	Other specified hot air or gas			
C.3.18.02.99	C.3.18.02	Unspecified hot air or gas			
C.3.18.98	C.3.18	Other specified hot object/substance			
C.3.18.99	C.3.18	Unspecified hot object/substance			
C.3.19	C.3	Food, drink			
C.3.19.01	C.3.19	Food, drink, or related product			
C.3.19.01.01	C.3.19.01	Stroopwafels			
C.3.19.01.05	C.3.19.01	Hot cooking oil or fat			
C.3.19.01.10	C.3.19.01	Hot solid food			
C.3.19.01.15	C.3.19.01	Hot drink			
C.3.19.01.20	C.3.19.01	Cold solid food			
C.3.19.01.25	C.3.19.01	Cold drink - non-alcoholic			
C.3.19.01.30	C.3.19.01	Drink - alcoholic			
C.3.19.98	C.3.19	Other specified food, drink	[C.3.98.98.78]		
C.3.19.99	C.3.19	Unspecified food, drink			
C.3.2	C.3	Mobile machinery or special purpose vehicle			
C.3.2.01	C.3.2	Mobile machinery/special purpose vehicle mainly used in agriculture			
C.3.2.01.01	C.3.2.01	Ride-on lawnmower			
C.3.2.01.05	C.3.2.01	Tractor			
C.3.2.01.10	C.3.2.01	Harvesting machine			
C.3.2.01.15	C.3.2.01	Auger, post-hole digger			
C.3.2.01.20	C.3.2.01	Equipment towed or powered by tractors NEC			
C.3.2.01.98	C.3.2.01	Other specified mobile machinery or special purpose vehicle used in agriculture			
C.3.2.01.99	C.3.2.01	Unspecified mobile machinery or special purpose vehicle used in agriculture			
C.3.2.02	C.3.2	Mobile machinery/special purpose vehicle mainly used in industry			
C.3.2.02.01	C.3.2.02	Forklift or lift truck			
C.3.2.02.05	C.3.2.02	Mobile crane			
C.3.2.02.10	C.3.2.02	Battery-powered airport passenger vehicle			
C.3.2.02.15	C.3.2.02	Logging car			
C.3.2.02.20	C.3.2.02	Coal-car in mine			
C.3.2.02.25	C.3.2.02	Tram, truck, or tub in mine or quarry			
C.3.2.02.98	C.3.2.02	Other specified  mobile machinery or special purpose vehicle mainly used in industry			
C.3.2.02.99	C.3.2.02	Unspecified  mobile machinery or special purpose vehicle mainly used in industry			
C.3.2.03	C.3.2	Mobile machinery/special purpose vehicle mainly used in construction			
C.3.2.03.01	C.3.2.03	Grader			
C.3.2.03.05	C.3.2.03	Front-end loader, bulldozer			
C.3.2.03.10	C.3.2.03	Excavator, digger, mechanical shovel			
C.3.2.03.15	C.3.2.03	Road roller			
C.3.2.03.98	C.3.2.03	Other specified  mobile machinery or special purpose vehicle mainly used in construction			
C.3.2.03.99	C.3.2.03	Unspecified  mobile machinery or special purpose vehicle mainly used in construction			
C.3.2.98	C.3.2	Other specified mobile machinery or special purpose vehicle			
C.3.2.98.01	C.3.2.98	Ambulance			
C.3.2.98.05	C.3.2.98	Fire truck, fire engine			
C.3.2.98.10	C.3.2.98	Race car			
C.3.2.98.15	C.3.2.98	Snowmobile, ski-scooter			
C.3.2.98.20	C.3.2.98	Special all-terrain vehicle/off-road vehicle			
C.3.2.98.98	C.3.2.98	Other specified mobile machinery or special purpose vehicle			
C.3.2.99	C.3.2	Unspecified mobile machinery or special purpose vehicle			
C.3.20	C.3	Pharmaceutical substance for human use, ie. drug, medicine	[C.3.21,C.3.19]		
C.3.20.01	C.3.20	Analgesic, antipyretic, antirheumatic			
C.3.20.01.01	C.3.20.01	human drug: Paracetamol only preparation			
C.3.20.01.05	C.3.20.01	human drug: Aspirin only preparation			
C.3.20.01.10	C.3.20.01	human drug: Paracetamol in combination with aspirin only			
C.3.20.01.15	C.3.20.01	human drug: Paracetamol in combination with codeine and/or other substances			
C.3.20.01.20	C.3.20.01	human drug: Aspirin in combination with codeine and/or other substances			
C.3.20.01.25	C.3.20.01	human drug: Codeine only preparation			
C.3.20.01.30	C.3.20.01	human drug: Morphine			
C.3.20.01.35	C.3.20.01	human drug: Methadone			
C.3.20.01.40	C.3.20.01	human drug: Oxycodone			
C.3.20.01.45	C.3.20.01	human drug: Ibuprofen			
C.3.20.01.50	C.3.20.01	human drug: Indomethacin			
C.3.20.01.58	C.3.20.01	human drug: Other nonsteroidal anti-inflammatory drug (NSAID)			
C.3.20.01.98	C.3.20.01	human drug: Other specified analgesic, antipyretic or antirheumatic			
C.3.20.01.99	C.3.20.01	Unspecified analgesic, antipyretic or antirheumatic			
C.3.20.02	C.3.20	Antimicrobial, anti-infective agent			
C.3.20.02.01	C.3.20.02	human drug: Antibacterial agent containing penicillin			
C.3.20.02.02	C.3.20.02	human drug: Antibacterial agent containing tetracycline			
C.3.20.02.03	C.3.20.02	human drug: Antibacterial agent containing cefalosporins and other beta-lactam antibiotics			
C.3.20.02.04	C.3.20.02	human drug: Antibacterial agent containing substance from chloramphenicol group			
C.3.20.02.05	C.3.20.02	human drug: Antibacterial agent containing macrolides			
C.3.20.02.06	C.3.20.02	human drug: Antibacterial agent containing aminoglycosides			
C.3.20.02.07	C.3.20.02	human drug: Antibacterial agent containing rifamycins			
C.3.20.02.18	C.3.20.02	human drug: Other antibacterial agent			
C.3.20.02.19	C.3.20.02	human drug: Unspecified antibacterial agent			
C.3.20.02.20	C.3.20.02	human drug: Antifungal antibiotic			
C.3.20.02.25	C.3.20.02	human drug: Sulfonamides			
C.3.20.02.30	C.3.20.02	human drug: Antimycobacterial drugs			
C.3.20.02.35	C.3.20.02	human drug: Antituberculotic, antileprotic			
C.3.20.02.40	C.3.20.02	human drug: Antimalarial drug			
C.3.20.02.48	C.3.20.02	human drug: Other antiprotozoal agent			
C.3.20.02.50	C.3.20.02	human drug: Antiviral agent			
C.3.20.02.55	C.3.20.02	human drug: Anthelmintic agent			
C.3.20.02.60	C.3.20.02	human drug: Ectoparasiticide preparation			
C.3.20.02.98	C.3.20.02	human drug: Other specified antimicrobial, anti-infective agent			
C.3.20.02.99	C.3.20.02	human drug: Unspecified antimicrobial, anti-infective agent			
C.3.20.03	C.3.20	human drug: Cold and cough preparation			
C.3.20.04	C.3.20	Asthma therapy			
C.3.20.04.01	C.3.20.04	human drug: Aminophylline/theophylline			
C.3.20.04.05	C.3.20.04	human drug: Terbutaline and other beta-2 antagonist			
C.3.20.04.10	C.3.20.04	human drug: Other beta antagonist			
C.3.20.04.98	C.3.20.04	human drug: Other specified asthma therapy			
C.3.20.04.99	C.3.20.04	human drug: Unspecified asthma therapy			
C.3.20.05	C.3.20	Antihistamine			
C.3.20.05.01	C.3.20.05	human drug: Diphenhydramine			
C.3.20.05.98	C.3.20.05	human drug: Other specified antihistamine			
C.3.20.05.99	C.3.20.05	human drug: Unspecified antihistamine			
C.3.20.06	C.3.20	Antidepressant			
C.3.20.06.01	C.3.20.06	human drug: Amitriptyline			
C.3.20.06.05	C.3.20.06	human drug: Desipramine			
C.3.20.06.10	C.3.20.06	human drug: Doxepin			
C.3.20.06.18	C.3.20.06	human drug: Other cyclic antidepressant			
C.3.20.06.20	C.3.20.06	human drug: Lithium			
C.3.20.06.30	C.3.20.06	human drug: Monoamine oxydase (MAO) inhibitors			
C.3.20.06.40	C.3.20.06	human drug: Selective serotonin receptor inhibitor (SSRI)			
C.3.20.06.98	C.3.20.06	human drug: Other specified antidepressant			
C.3.20.06.99	C.3.20.06	human drug: Unspecified antidepressant			
C.3.20.07	C.3.20	Sedative, hypnotic, antipsychotic			
C.3.20.07.01	C.3.20.07	human drug: Barbiturate			
C.3.20.07.05	C.3.20.07	human drug: Benzodiazepine			
C.3.20.07.10	C.3.20.07	human drug: Chloral hydrate			
C.3.20.07.15	C.3.20.07	human drug: Phenothiazine			
C.3.20.07.98	C.3.20.07	human drug: Other specified sedative, hypnotic, antipsychotic			
C.3.20.07.99	C.3.20.07	human drug: Unspecified sedative, hypnotic, antipsychotic			
C.3.20.08	C.3.20	Anticonvulsant			
C.3.20.08.05	C.3.20.08	human drug: Carbamazepine			
C.3.20.08.10	C.3.20.08	human drug: Phenytoin			
C.3.20.08.15	C.3.20.08	human drug: Succinimides			
C.3.20.08.20	C.3.20.08	human drug: Valproic acid			
C.3.20.08.98	C.3.20.08	human drug: Other specified anticonvulsant			
C.3.20.08.99	C.3.20.08	human drug: Unspecified anticonvulsant			
C.3.20.09	C.3.20	Cardiovascular drug			
C.3.20.09.01	C.3.20.09	human drug: ACE inhibitor			
C.3.20.09.05	C.3.20.09	human drug: Alpha blocker			
C.3.20.09.10	C.3.20.09	human drug: Antiarrhythmics			
C.3.20.09.15	C.3.20.09	human drug: Antihypertensive			
C.3.20.09.20	C.3.20.09	human drug: Beta blocker			
C.3.20.09.25	C.3.20.09	human drug: Nitroglycerin			
C.3.20.09.98	C.3.20.09	human drug: Other specified cardiovascular drug			
C.3.20.09.99	C.3.20.09	human drug: Unspecified cardiovascular drug			
C.3.20.10	C.3.20	Diuretic			
C.3.20.10.01	C.3.20.10	human drug: Furosemide			
C.3.20.10.05	C.3.20.10	human drug: Thiazide			
C.3.20.10.98	C.3.20.10	human drug: Other specified diuretic			
C.3.20.10.99	C.3.20.10	human drug: Unspecified diuretic			
C.3.20.11	C.3.20	Anticoagulant			
C.3.20.11.05	C.3.20.11	human drug: Heparin			
C.3.20.11.10	C.3.20.11	human drug: Warfarin			
C.3.20.11.98	C.3.20.11	human drug: Other specified anticoagulant			
C.3.20.11.99	C.3.20.11	human drug: Unspecified anticoagulant			
C.3.20.12	C.3.20	Gastrointestinal preparation			
C.3.20.12.01	C.3.20.12	human drug: Antacid, antiflatulent, drug for treatment of peptic ulcer			
C.3.20.12.05	C.3.20.12	human drug: Antispasmodic, anticholinergic, propulsive			
C.3.20.12.10	C.3.20.12	human drug: Anti-emetic, anti-nauseant preparation			
C.3.20.12.15	C.3.20.12	human drug: Laxative			
C.3.20.12.20	C.3.20.12	human drug: Antidiarrhoeal, intestinal anti-inflammatory, intestinal anti-infective agent			
C.3.20.12.25	C.3.20.12	human drug: Stomatological preparation, mouth preparation			
C.3.20.12.98	C.3.20.12	human drug: Other specified gastrointestinal preparation			
C.3.20.12.99	C.3.20.12	human drug: Unspecified gastrointestinal preparation			
C.3.20.13	C.3.20	Diagnostic agent			
C.3.20.13.01	C.3.20.13	human drug: Radiographic agent			
C.3.20.13.05	C.3.20.13	human drug: Agent for urinalysis			
C.3.20.13.98	C.3.20.13	human drug: Other specified diagnostic agent			
C.3.20.13.99	C.3.20.13	human drug: Unspecified diagnostic agent			
C.3.20.14	C.3.20	Anti-neoplastic agent			
C.3.20.14.01	C.3.20.14	human drug: Cytostatic preparation			
C.3.20.14.05	C.3.20.14	human drug: Preparations for endocrine therapy			
C.3.20.14.10	C.3.20.14	human drug: Immunomodulating preparation			
C.3.20.14.98	C.3.20.14	human drug: Other specified anti-neoplastic agent			
C.3.20.14.99	C.3.20.14	human drug: Unspecified anti-neoplastic agent			
C.3.20.15	C.3.20	Anaesthetic			
C.3.20.15.01	C.3.20.15	human drug: Nitrous oxide			
C.3.20.15.08	C.3.20.15	human drug: Other inhalation anaesthetic			
C.3.20.15.10	C.3.20.15	human drug: Ketamine			
C.3.20.15.15	C.3.20.15	human drug: Intravenous anaesthetic			
C.3.20.15.20	C.3.20.15	human drug: Local and topical anaesthetic			
C.3.20.15.30	C.3.20.15	human drug: Therapeutic gases			
C.3.20.15.98	C.3.20.15	human drug: Other specified anaesthetic			
C.3.20.15.99	C.3.20.15	human drug: Unspecified anaesthetic			
C.3.20.16	C.3.20	human drug: Muscle relaxant			
C.3.20.17	C.3.20	human drug: Narcotic antagonist			
C.3.20.18	C.3.20	Eye/ear/nose/throat preparation			
C.3.20.18.01	C.3.20.18	human drug: Nasal preparation			
C.3.20.18.10	C.3.20.18	human drug: Ophthalmic preparation			
C.3.20.18.20	C.3.20.18	human drug: Otic preparation			
C.3.20.18.30	C.3.20.18	human drug: Topical steroid for eye/ear/nose/throat			
C.3.20.18.40	C.3.20.18	human drug: Lozenges with or without local anaesthetic for throat			
C.3.20.18.98	C.3.20.18	human drug: Other specified throat preparation			
C.3.20.18.99	C.3.20.18	human drug: Unspecified throat preparation			
C.3.20.19	C.3.20	Topical preparation			
C.3.20.19.01	C.3.20.19	human drug: Acne preparation			
C.3.20.19.05	C.3.20.19	human drug: Boric acid, borate			
C.3.20.19.10	C.3.20.19	human drug: Calamine lotion			
C.3.20.19.15	C.3.20.19	human drug: Camphor/methyl salicylate			
C.3.20.19.20	C.3.20.19	human drug: Iodine or iodide antiseptic			
C.3.20.19.28	C.3.20.19	human drug: Other topical antiseptic			
C.3.20.19.30	C.3.20.19	human drug: Podophyllin			
C.3.20.19.35	C.3.20.19	human drug: Silver nitrate			
C.3.20.19.40	C.3.20.19	human drug: Topical steroid			
C.3.20.19.45	C.3.20.19	human drug: Topical steroid with antibiotic			
C.3.20.19.50	C.3.20.19	human drug: Wart preparation			
C.3.20.19.98	C.3.20.19	human drug: Other specified topical preparation			
C.3.20.19.99	C.3.20.19	human drug: Unspecified topical preparation			
C.3.20.20	C.3.20	Vitamin or dietary supplement			
C.3.20.20.01	C.3.20.20	human drug: (Multi-)vitamin with iron			
C.3.20.20.05	C.3.20.20	human drug: (Multi-)vitamin without iron			
C.3.20.20.98	C.3.20.20	human drug: Other specified vitamin or dietary supplement			
C.3.20.20.99	C.3.20.20	human drug: Unspecified vitamin or dietary supplement			
C.3.20.21	C.3.20	Electrolyte or mineral			
C.3.20.21.10	C.3.20.21	human drug: Calcium			
C.3.20.21.15	C.3.20.21	human drug: Fluoride			
C.3.20.21.20	C.3.20.21	human drug: Iron			
C.3.20.21.25	C.3.20.21	human drug: Potassium			
C.3.20.21.30	C.3.20.21	human drug: Sodium			
C.3.20.21.98	C.3.20.21	human drug: Other specified electrolyte or mineral			
C.3.20.21.99	C.3.20.21	human drug: Unspecified electrolyte or mineral			
C.3.20.22	C.3.20	Serum, toxoid, vaccine			
C.3.20.22.01	C.3.20.22	serum, toxoid, or vaccine for Diphtheria			
C.3.20.22.05	C.3.20.22	serum, toxoid, or vaccine for Measles			
C.3.20.22.10	C.3.20.22	serum, toxoid, or vaccine for Mumps			
C.3.20.22.15	C.3.20.22	serum, toxoid, or vaccine for Rubella			
C.3.20.22.20	C.3.20.22	serum, toxoid, or vaccine for Polio			
C.3.20.22.25	C.3.20.22	serum, toxoid, or vaccine for Pertussis			
C.3.20.22.30	C.3.20.22	serum, toxoid, or vaccine for Tetanus			
C.3.20.22.35	C.3.20.22	serum, toxoid, or vaccine for Cholera			
C.3.20.22.40	C.3.20.22	serum, toxoid, or vaccine for Typhoid			
C.3.20.22.45	C.3.20.22	serum, toxoid, or vaccine for Yellow fever			
C.3.20.22.50	C.3.20.22	serum, toxoid, or vaccine for Hepatitis (A or B)			
C.3.20.22.55	C.3.20.22	serum, toxoid, or vaccine for Influenza			
C.3.20.22.60	C.3.20.22	serum, toxoid, or vaccine for Combination vaccine			
C.3.20.22.65	C.3.20.22	serum, toxoid, or vaccine for Anti-snake bite serum			
C.3.20.22.98	C.3.20.22	serum, toxoid, vaccine; other specified			
C.3.20.22.99	C.3.20.22	serum, toxoid, vaccine; unspecified			
C.3.20.23	C.3.20	Hormone, hormone antagonist, contraceptive			
C.3.20.23.01	C.3.20.23	human drug: Oral or injectable contraceptive			
C.3.20.23.02	C.3.20.23	human drug: Other oestrogen, progesterone or progestogen preparation			
