ORPHA|ORPHANAME|CONCEPTID|TITLE|SHORT DEFINITION
798|Schinzel-Giedion syndrome|http://who.int/icd#1212_712a6f06_71f2_48d0_919c_2b3cb8b7172d|Schinzel-Giedion midface retraction syndrome|"Schinzel-Giedon syndrome is a rare genetic autosomal recessive multiple anomalies syndrome including severe facial dysmorphism (hypoplastic middle part of the face, ocular proptosis, deep groove under the lower eyelid, hypertelorism, and overall coarse features), lack of closure of fontanelles, a short neck with excess skin, urogenital malformations (uni- or bilateral hydronephrosis, micropenis or hypospadias in males and hypoplastic majora and minora labia in females), and skeletal disorders (synchondrosis of the exo- and supraoccipital bones that disappears within the first months; sclerosis of the base of the skull; wide ribs; hypoplastic pubian bones, often thickened diaphyses of long bones). "
800|Schwartz-Jampel syndrome|http://who.int/icd#1078_e9c55f4e_825c_45d7_ba2c_0fdc673d688a|Chondrodystrophic myotonia|"Schwartz-Jampel syndrome is a congenital myotonic syndrome characterised by myotonia that esults in a characteristic facies with blepharophimosis and a puckered facial appearance, and osteoarticular abnormalities leading to limited joint mobility. "
801|Scleroderma|http://who.int/icd#Class_1750|Scleredema and miscellaneous scleroderma-like conditions|"Scleroderma is a rare autoimmune connective tissue disorder characterized by abnormal hardening of the skin and, sometimes, other organs. It is classified into two main forms: localized scleroderma and systemic sclerosis (SSc), the latter comprising three subsets; diffuse cutaneous SSc (dcSSc), limited cutaneous SSc (lcSSc) and limited SSc (lSSc). "
802|Multiple sclerosis|http://who.int/icd#G35|Multiple sclerosis|"Multiple sclerosis (MS) is an autoimmune and inflammatory demyelinating disease of the central nervous system, often characterized by relapsing episodes of neurologic impairment followed by remissions (relapsing remitting MS). In about a third of MS patients, the disease evolves into a progressive course (secondary progressive MS). In a minority of patients, progressive neurologic deterioration without remission occurs from the disease onset (primary progressive MS). "
803|Amyotrophic lateral sclerosis|http://who.int/icd#3450_d4765700_5765_4591_9aab_337c39ce9c2a|Amytrophic lateral sclerosis|"Amyotrophic lateral sclerosis (ALS) is a neurodegenerative disease characterized by progressive muscular paralysis reflecting degeneration of motor neurons in the primary motor cortex, corticospinal tracts, brainstem and spinal cord. Approximately two thirds of patients with typical ALS have a spinal form of the disease (limb onset) and present with symptoms related to focal muscle weakness and wasting, evolving to spasticity. Patients with bulbar onset ALS present with dysarthria and dysphagia for solids or liquids. Paralysis is progressive and leads to death due to respiratory failure within 2-3 years for bulbar onset cases and 3-5 years for limb onset ALS cases."
806|Scott syndrome|http://who.int/icd#308_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Scott syndrome|"Scott syndrome is an extremely rare hemorrhagic disorder characterized by hemorrhagic episodes explained by an impairment of the procoagulant activity expressed by stimulated platelets, which are unable to expose anionic phospholipids and to shed procoagulant microparticles. "
807|Sebastian syndrome|http://who.int/icd#55_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Sebastian syndrome|"Sebastian syndrome is one of the MYH9 syndromes (a group that includes four clinical forms with similar manifestations resulting from mutations in the MYH9 gene: May-Hegglin anomaly and Fechtner and Epstein syndromes), which are characterized by a macrothrombocytopenia that is usually severe but paradoxically results in few if any symptoms. "
808|Seckel syndrome|http://who.int/icd#10076_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Seckel syndrome|"Seckel syndrome is the most common of the microcephalic osteodysplastic dwarfisms, and is characterized by a proportionate dwarfism of prenatal onset, a severe microcephaly with a bird-headed like appearance and mental retardation. "
809|Mixed connective tissue disease|http://who.int/icd#2079_07368d94_d861_421b_b2a0_264c49b96108|Mixed connective tissue disease|"Mixed connective tissue disease (MCTD) is a rare connective tissue disorder combining clinical features of systemic lupus erythematosus, systemic sclerosis, polymyositis  and/or rheumatoid arthritis. "
811|Shwachman-Diamond syndrome|http://who.int/icd#407_8e8fddc4_a502_4bf4_b128_ebfca1d73928|Shwachman-Diamond syndrome|"Shwachman-Diamond syndrome is defined by the association of a central hematological defect (neutropenia, thrombocytopenia and anemia that may progress to bone marrow aplasia), with a malformation syndrome and lipomatosis of the pancreas resulting in external pancreatic insufficiency. "
812|Sialidosis type 1|http://who.int/icd#4543_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Sialidosis type 1|"Type 1 sialidosis, also called normomorphic or 'cherry-red-spot, myoclonus' syndrome is a form of sialidosis, a lysosomal storage disease belonging to the group of oligosaccharidoses or glycoproteinoses, and is characerized by walking difficulties and/or a loss of visual acuity and a cherry-red spot on the retina. They may also have generalised myoclonus, in some cases associated with seizures. "
813|Silver-Russell syndrome|http://who.int/icd#1692_712a6f06_71f2_48d0_919c_2b3cb8b7172d|Silver-Russell syndrome|"Silver-Russell syndrome is a developmental anomalies syndrome characterized by growth retardation with antenatal onset, characteristic facies and limb asymmetry. "
816|Sjˆgren-Larsson syndrome|http://who.int/icd#3344_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Sjögren-Larsson syndrome|"Sjögren-Larsson syndrome is a neurocutaneous disorder caused by an inborn error of lipid metabolism and characterized by congenital ichthyosis, intellectual deficit, and spasticity. "
818|Smith-Lemli-Opitz syndrome|http://who.int/icd#3388_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Smith-Lemli-Opitz syndrome|"Smith-Lemli-Opitz syndrome is an inborn error of cholesterol synthesis characterized by multiple congenital anomalies, intellectual deficit, and behavioral problems (multiple autistic traits, hyperactivity, self-injurious behavior and sleep disturbances). "
819|Smith-Magenis syndrome|http://who.int/icd#23419_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Smith-Magenis syndrome [17p11.2 deletion]|"Smith-Magenis syndrome is a complex genetic disorder characterized by variable intellectual deficit, sleep disturbance, craniofacial and skeletal anomalies, psychiatric disorders, and speech and motor delay. "
820|Sneddon syndrome|http://who.int/icd#3495_81655b5c_debe_4590_b8ad_ea6448685723|Sneddon syndrome|"Sneddon syndrome associates livedo reticularis and neurological signs. Livedo is permanent, cyanotic, with no infiltration, and affects the limbs, trunk and sometimes the face. Neurological signs appear later and include cerebrovascular accidents, epilepsy, vertigo and more rarely a pseudobulbar syndrome, chorea, episodes of amnesia or transient amaurosis."
821|Sotos syndrome|http://who.int/icd#11858_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Sotos syndrome|"Sotos syndrome is an overgrowth condition characterized by cardinal features including excessive growth during childhood, macrocephaly, distinctive facial gestalt and various degrees of learning difficulty, and associated with variable minor features. "
823|Isolated spina bifida|http://who.int/icd#Q05|Spina bifida|"Spina bifida is the most common of a group of birth defects called neural tube defects. Spina bifida affects the backbone and, sometimes, the spinal cord. Aperta spina bifida defines the dorsal malclosure of vertebrae, associated with various degrees of spine defects. A pocket of skin may form, containing meninges (meningocele) or spinal cord and meninges (myelomeningocele). Different subtypes are distinguished according to the location of the defect. Consequences are paraplegia (paralysed lower limbs), hydrocephaly, Arnold-Chiari malformation (result of the attached spine during life in utero), urinary and anorectal incontinence. The intensity of signs varies greatly with the level and extent of the lesion. "
824|Myelofibrosis with myeloid metaplasia|http://who.int/icd#3399_07368d94_d861_421b_b2a0_264c49b96108|Myelofibrosis with myeloid metaplasia|"Myelofibrosis with myeloid metaplasia is a myeloproliferative disease which clinical manifestations depend on the type of blood cell affected and may include anemia, pallor, splenomegaly, hypermetabolic state, petechiae, ecchymosis, bleeding, lymphadenopathy, hepatomegaly, portal hypertension."
825|Ankylosing spondylitis|http://who.int/icd#27478_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Ankylosing spondylitis|Ankylosing spondylitis belongs to the group of 'spondylarthropathies clinically characterized by inflammatory spinal pain with subsequent limitation of spine mobility and chest expansion.
827|Stargardt disease|http://who.int/icd#15454_378b7cb7_5b17_422d_b68b_e793f5e48664|Stargardt disease|Stargardt's disease is a form of juvenile hereditary macular degeneration characterized by discrete yellowish round or pisciform flecks around the macula at the level of the retinal pigment epithelium (rpe). Stargardt's disease is the most common hereditary macular dystrophy.
828|Stickler syndrome|http://who.int/icd#18238_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Stickler syndrome|"Stickler syndrome is an inherited vitreoretinopathy characterized by the association of ocular signs with more or less complete forms of Pierre-Robin sequence, bone disorders, and sensorineural deafness. Ocular disorders may include juvenile cataract, myopia, strabismus, vitreoretinal or chorioretinal degeneration, retinal detachment, and chronic uveitis. Bone anomalies include mild platyspondyly and large, often abnormal, epiphyses. Juvenile joint laxity is followed by early signs of arthrosis."
829|Adult Still's disease|http://who.int/icd#M05.5|Adult-onset Still disease|"Adult onset Still's disease is a rare rheumatic condition characterized by a combination of symptoms, such as fever higher than 39°C, cutaneous rash during fever peaks, joint or muscle pain, lymph node hypertrophy, increase of white blood cells (especially polymorphonuclear neutrophils) and abnormalities of liver metabolism. "
830|Stuccokeratosis|http://who.int/icd#Class_1277|Stucco keratosis|Stuccokeratosis refers to benign keratotic papules that occur in the distal regions of the lower limbs in elderly men. 
832|Succinyl-CoA acetoacetate transferase deficiency|http://who.int/icd#156_890e173e_8bc7_44a1_9345_a738531fdd8e|Succinyl-CoA acetoacetate transferase deficiency|"Succinyl-CoA acetoacetate transferase deficiency is a ketolytic defect, in which extrahepatic tissues cannot use the ketone bodies produced by the liver. This disorder is characterized clinically by intermittent ketoacidosis with, however, no clinical symptoms between these episodes. Ketoacidotic episodes are usually severe and the first episode develops in the neonatal period or early childhood (6-20mo). "
833|Encephalopathy due to sulfite oxidase deficiency|http://who.int/icd#2101_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Encephalopathy due to sulfite oxidase deficiency|"Encephalopathy due to sulfite oxidase deficiency is a rare neurometabolic disorder characterized by seizures, progressive encephalopathy and lens dislocation."
834|Free sialic acid storage disease|http://who.int/icd#4829_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Free sialic acid storage disease|"Free Sialic Acid Storage Disease (SSD) or Salla disease is a lysosomal storage disease with a variable clinical presentation, with severe forms (Infantile Sialic Acid Storage Disease) present in utero(with fetal hydrops and ascites) or at birth (with hypotonia, hepatosplenomegaly, ascites, coarse facies, bone malformations, severe motor disorders, intellectual deficit, and seizures). Individuals with the moderate form (initially described as Salla disease) present with hypotonia that may progress to include spasticity, ataxia, psychomotor retardation, and profound intellectual deficit. "
838|Susac syndrome|http://who.int/icd#3525_81655b5c_debe_4590_b8ad_ea6448685723|Susac syndrome|"Susac syndrome, also referred to as SICRET (Small Infarctions of Cochlear, Retinal and Encephalic Tissue) and RED-M (Retinopathy, encephalopathy, deafness associated microangiopathy) is a small vessel vasculitis with microinfarction due to arteriolar occlusions. The syndrome is characterized by the triad of: encephalopathy, neurosensory hearing loss usually bilateral and branch retinal artery occlusions."
839|"Congenital nephrotic syndrome, Finnish type"|http://who.int/icd#13046_07368d94_d861_421b_b2a0_264c49b96108|"Congenital nephrotic syndrome, Finnish type"|Congenital nephrotic syndrome of the Finnish type is a genetic nephrotic syndrome characterised by protein loss beginning during foetal life.
840|Syringocystadenoma papilliferum|http://who.int/icd#2175_81655b5c_debe_4590_b8ad_ea6448685723|Syringocystadenoma papilliferum|"Syringocystadenoma papilliferum is a skin hamartoma, which is believed to derived from apocrine sweat glands or, less often, from eccrine sweat glands. Three clinical types have been described. The plaque type presents mostly as a hairless area in the scalp, often in association with a sebaceous nevus of Jadassohn; the linear type, which is usually seen on the neck or face, and the solitary nodular type, which shows predilection for the trunk. "
845|Tay-Sachs disease|http://who.int/icd#3894_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Tay-Sachs disease|"GM2 gangliosidosis, variant B or Tay-Sachs disease is a progressive neurodegenerative disorder characterized by accumulation of G2 gangliosides due to hexosaminidase A deficiency. Three variants have been described according to age of onset. The infantile form (type 1 that begins between 3 and 6 months of age), the juvenile form (type 2 with onset between ages 2 and 6), and the adult or chronic form (type 3,which may begin around the age of 10) "
846|Alpha-thalassemia|http://who.int/icd#D56.0|Alpha thalassaemia|"Alpha-thalassemia is an inherited hemoglobinopathy characterized by impaired synthesis of alpha-globin chains leading to a variable clinical picture depending on the number of affected alleles, and encompassing the alpha thalassaemia trait, haemoglobin H disease (HbH) and Bart's hydrops foetalis."
847|Alpha thalassemia - X-linked intellectual deficit|http://who.int/icd#341_8e8fddc4_a502_4bf4_b128_ebfca1d73928|Alpha thalassaemia - X-linked intellectual deficit|"X-linked alpha thalassaemia mental retardation (ATR-X) syndrome in males is associated with profound developmental delay, facial dysmorphism, genital abnormalities and alpha thalassaemia. Female carriers are usually physically and intellectually normal. "
848|Beta-thalassemia|http://who.int/icd#D56.1|Beta thalassaemia|"Beta-thalassemia is a hemoglobinopathy characterized by deficiency (Beta+) or absence (Beta0) of synthesis of the beta globin chains of hemoglobin (Hb). Three main types of BT have been described: minor, intermedia and major with clinical presentation ranging from asymptomatic forms to microcytic anemia and splenomegaly due to deffective erythropiesis and hemolysis."
849|Glanzmann thrombasthenia|http://who.int/icd#1518_ea0b2e17_d398_4474_8ed0_c2b2ced85d96|Glanzmann thrombasthenia|"Glanzmann thrombasthenia is a bleeding syndrome affecting the megakaryocyte lineage and characterized by lack of platelet aggregation and is associated with clinical variability: some patients have only minimal bruising while others have frequent, severe and potentially fatal hemorrhages. "
850|May-Hegglin thrombocytopenia|http://who.int/icd#22_b047675b_e7d6_403d_8ca9_f59ab5570ff4|May-Hegglin thrombocytopenia|"May-Hegglin anomaly is one of the MYH9 syndromes (a group that also includes three other allelic variants with similar phenotypic expression: Sebastian, Fechtner and Epstein syndrome), which are characterized by a macrothrombocytopenia that is usually severe but paradoxically results in few if any symptoms. Macrothrombocytopenia is defined by the presence of giant platelets, with a diameter equal or superior to the diameter of a red cell. May-Hegglin anomaly, as well as Sebastian syndrome, is a purely hematological form of MYH9 syndrome."
851|Paris-Trousseau thrombocytopenia|http://who.int/icd#34056_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Deletions of the short arm of chromosome 11|"Paris-Trousseau syndrome is a rare inherited platelet-based bleeding disorder characterized by clinical features such as intellectual deficit, cardiac malformations, and facial abnormalities associated with thrombocytopenia and dysmegakaryopoiesis. Two morphologically distinct populations of megakaryocytes (MKs) are present in the bone marrow of PTS patients: one is normal whereas the other one consists of small immature MKs undergoing massive lysis. "
853|Fetal and neonatal alloimmune thrombocytopenia|http://who.int/icd#1683_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Fetal and neonatal alloimmune thrombocytopenia|"Fetal and neonatal alloimmune thrombocytopenia (NAIT) results from maternal alloimmunisation against foetal platelet antigens inherited from the father and different from those present in the mother, and usually presents as a severe isolated thrombocytopaenia in otherwise healthy newborns. NAIT has been considered to be the platelet counterpart of Rh Haemolytic Disease of the Newborn (RHD). Unlike RHD, NAIT can occur during a first pregnancy."
854|Portal vein thrombosis|http://who.int/icd#I81|Portal vein thrombosis|Portal vein thrombosis (PVT) is associated with acute or chronic thrombosis of the portal system. 
856|Tourette syndrome|http://who.int/icd#5490_dd0250d2_e8cd_4c48_a93f_7997cc1c8b07|Tourette’s syndrome|"Tourette syndrome is characterized by motor and vocal tics associated with varying degrees of psychiatric comorbidity. The disease involves several motor tics and at least one vocal tic present for at least one year and appearing before 18 years of age, in the absence of an identifiable cause. Patients also have variable psychiatric comorbidity, including obsessive-compulsive disorder (OCD), attention deficit-hyperactivity disorder (ADHD), panic and rage attacks, self-mutilation and anxiety disorders."
857|Townes-Brocks syndrome|http://who.int/icd#7183_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Townes-Brocks syndrome|"Townes-Brocks syndrome is a developmental anomalies syndrome characterized by four main signs: anal defects, ranging from simple anal anteversion to an imperforate anus with a rectovaginal fistula; malformation of the external ear (pretragial tags, malformation of the helix, stenosed external acoustic meatus); anomalies of the digits (three-phalanged thumb, bifid thumb, hexadactyly); and all types and degrees of deafness. "
861|Treacher-Collins syndrome|http://who.int/icd#7293_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Treacher-Collins syndrome|"Treacher-Collins syndrome is a congenital disorder of craniofacial development characterized by bilateral symmetrical oto-mandibular dysplasia without abnormalities of the extremities, associated with several head and neck defects. "
862|Hereditary essential tremor|http://who.int/icd#45_ce88e999_ba9e_41b4_8d8a_b63046b652da|Hereditary essential tremor|"Hereditary essential tremor  is an inherited movement disorder characterized by intentional involuntary tremor, mainly of the hands."
863|Trichinellosis|http://who.int/icd#B75|Infections due to Trichinella spiralis|"Trichinosis is a cosmopolitan parasitosis caused by a nematode worm, Trichinella spiralis, characterized by an initial phase with fever, diarrhea, and abdominal pain, facial edema and myalgia appear but heal spontaneously after a few weeks. Clinical picture varies from asymptomatic forms to massive invasions that become life-threatening.."
868|Triose phosphate-isomerase deficiency|http://who.int/icd#2992_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Triose phosphate-isomerase deficiency|"Triose-phosphate isomerase deficiency is a severe multisystem inborn error of metabolism characterized by early-onset chronic hemolytic anemia, always present, and progressive neurological involvement that starts between 6 and 30 months of age. Other clinical signs can be observed, in particular, diaphragm paralysis that requires assisted ventilation, cardiomyopathy and an increased susceptibility to infections."
869|Triple A syndrome|http://who.int/icd#9207_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Triple A syndrome|"Triple A syndrome is an autosomal recessive disorder characterized by the triad of adrenocorticotropic hormone (ACTH) resistant adrenal insufficiency, achalasia (hypertrophy of the gastroesophageal cardia, preventing food from entering the stomach), and alacrima (absence of tears)."
870|Down syndrome|http://who.int/icd#Q90|Complete trisomy 21|"Trisomy 21 is a chromosomal abnormality, characterised by the presence of a third (partial or total) copy of chromosome 21, which clinical manifestations include variable intellectual deficiency, muscular hypotonia and joint laxity, often associated with facial dysmorphism and variable malformations (essentially heart and digestive) and a risk of complications (epilepsy, leukemia, auto-immune and endocrine pathologies, earlier aging and Alzheimer disease."
871|Familial progressive cardiac conduction defect|http://who.int/icd#16654_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Familial progressive cardiac conduction defect|Familial cardiac conduction defects belong to the group of inherited arrhythmias and can be classified under the broad heading of ``familial disorders affecting impulse propagation and cardiac conduction''. Patients can be asymptomatic or present with palpitations or occasionally symptoms of hemodynamic disorder.
874|Adult heart tumor|http://who.int/icd#20174_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Adult heart tumor|"Primary tumors of the heart in adult age can be either benign or malignant. The most common benign tumors are in order of frequency: myxoma, lipoma, papillary fibroelastoma, rhabdomyoma, fibroma, hemangioma, teratoma, mesothelioma of the atrio-ventricular node, granular cell tumor, neurofibroma, lymphangioma. The most common malignant tumors are: angiosarcoma, rhabdomyosarcoma, mesothelioma, fibrosarcoma, malignant lymphoma, extra-skeletal osteosarcoma, thymoma, neurogenic sarcoma, leiomyosarcoma, liposarcoma, synovial sarcoma. "
875|Heart tumor of the child|http://who.int/icd#20185_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Heart tumor of the child|"Cardiac tumours are benign or malignant neoplasms arising primarily in the inner lining, muscle layer, or the surrounding pericardium of the heart. They can be primary or metastatic. "
877|Endocrine tumor|http://who.int/icd#10263_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Endocrine tumours|"Endocrine tumours, also referred to as neuroendocrine tumours (NETs), are defined by a common phenotype which is characterized by the expression of general markers (neuron specific enolase, chromogranin, synaptophysin) and hormone secretion products. These tumours may be localized in any part of the body and the most common localisations are the lungs, ileus, appendix, or rectum. Neuroectodermal NETs include medullary thyroid cancer, pheochromocytoma, and paraganglioma. "
882|Tyrosinemia type 1|http://who.int/icd#616_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Tyrosinaemia type 1|Tyrosinemia type 1 is an inborn error of amino acid metabolism characterized by hepatorenal manifestations. The early-onset acute form of the disorder manifests between 15 days and 3 months after birth with hepatocellular necrosis. Septicemia is a frequent complication. Renal tubular dysfunction occurs and is associated with phosphate loss and hypophosphatemic rickets. A later onset form has also been described and manifests with vitamin-resistant rickets caused by renal tubular dysfunction.
884|Tetrasomy 12p|http://who.int/icd#16731_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Tetrasomy 12p mosaicism|"Pallister-Killian syndrome (PKS) is a rare multiple congenital anomaly/intellectual deficit syndrome caused by mosaic tissue-limited tetrasomy for chromosome 12p characterized by facial dysmorphism, rhizomelic limb shortness, small hands and feet with nail hypoplasia. "
886|Usher syndrome|http://who.int/icd#20317_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Usher syndrome|"Usher syndrome is the most common cause of hereditary combined deafness-blindness, and is characterized by the association of sensorineural deafness (usually congenital) with retinitis pigmentosa and progressive vision loss. "
887|VACTERL/VATER association|http://who.int/icd#12804_b047675b_e7d6_403d_8ca9_f59ab5570ff4|VATER association|"VACTERL/VATER is an association of congenital malformations typically characterized by the presence of at least three of the following: vertebral defects, anal atresia, cardiac defects, tracheo-esophageal fistula, renal anomalies, and limb abnormalities. "
888|Van Der Woude syndrome|http://who.int/icd#7458_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Van Der Woude syndrome|Van der Woude syndrome is a craniofacial disorder characterised by the association of pits or sinuses on the lower lip with cleft lip and/or cleft palate. It represents the most frequent form of syndromic cleft lip and palate.
889|Cutaneous leukocytoclastic angiitis|http://who.int/icd#77_cd46688d_4a26_4006_b2e9_660f5f508fe3|Cutaneous leucocytoclastic vasculitis|"Cutaneous leukocytoclastic angiitis is a cutaneous vasculitis characterized histopatologically by neutrophilic transmural inflammation of the blood vessel wall associated with fibrinoid necrosis. Clinical manifestations of cutaneous vasculitis occur when small and/or medium vessels are involved. Small vessel vasculitis can present as palpable purpura, urticaria, pustules, vesicles, petechiae, or erythema multiforme-like lesions. Signs of medium vessel vasculitis include livedo reticularis, ulcers, subcutaneous nodules, and digital necrosis. "
890|Hepatic veno-occlusive disease|http://who.int/icd#K76.5|Hepatic veno-occlusive disease|"Hepatic veno-occlusive disease (hepatic VOD) is a liver disease resulting from toxic injury to the hepatic sinusoidal capillaries that leads to obstruction of the small hepatic veins. The clinical picture is characterized by painful hepatomegaly, jaundice, edemas, and ascites."
891|Familial exudative vitreoretinopathy|http://who.int/icd#15724_378b7cb7_5b17_422d_b68b_e793f5e48664|Familial exudative vitreoretinopathy|"Exudative vitreoretinopathy is a rare vitreoretinal dystrophy characterized by prematurely interrupted blood vessel development in the peripheral retina. In its typical form, large portions of avascular retina in the temporal periphery are associated with arteriovenous anastomoses and neovascular proliferations around the ischaemic area, a peripheral temporal fibrovascular mass, and a peculiar pattern of retinal vessels (vessels stretch toward temporal periphery making an acute angle as they leave the optic disk). "
892|Von Hippel-Lindau disease|http://who.int/icd#9581_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Von Hippel-Lindau disease|"Von Hippel-Lindau disease (VHL) is a familial cancer predisposition syndrome associated with a variety of malignant and benign neoplasms, most frequently retinal, cerebellar, and spinal hemangioblastoma, renal cell carcinoma (RCC), and pheochromocytoma."
893|WAGR syndrome|http://who.int/icd#9757_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|WAGR syndrome [11p13 deletion]|"WAGR is an acronym for Wilms tumor-Aniridia-Genitourinary anomalies-mental Retardation syndrome. Wilms tumor or nephroblastoma is the most frequent renal tumor in children, accounting for 6 to 8% of pediatric cancers. About 1% of these tumors are associated with aniridia."
898|Wagner disease|http://who.int/icd#10667_378b7cb7_5b17_422d_b68b_e793f5e48664|Wagner disease|"Wagner disease is a rare hereditary vitreoretinopathy characterized by an anomaleous vitreous associated with myopia, cataract, chorioretinal atrophy, and peripheral tractional or rhegmatogenous retinal detachment. "
899|Walker-Warburg syndrome|http://who.int/icd#935_e9c55f4e_825c_45d7_ba2c_0fdc673d688a|Walker Warburg syndrome|Walker-Warburg Syndrome (WWS) is a rare form of congenital muscular dystrophy associated with brain and eye abnormalities. WWS has a worldwide distribution.
900|Wegener granulomatosis|http://who.int/icd#3520_e9c55f4e_825c_45d7_ba2c_0fdc673d688a|Wegener's granulomatosis|Wegener granulomatosis is a small-vessel necrotizing vasculitis characterised by the association of inflammation of the vessel wall and peri- and extravascular granulomatosis. 
901|Wells syndrome|http://who.int/icd#L98.3|Eosinophilic cellulitis|"Wells syndrome is an acquired skin disease characterised by the presence of recurrent cellulitis-like eruptions with eosinophilia. The lesions are usually filled with fluid, tender and progress to form hardened plaques of edema and erythema, and usually resolve without scarring. "
902|Werner syndrome|http://who.int/icd#12166_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Werner syndrome|"Werner syndrome (WS) is a rare inherited syndrome characterized by premature aging with an onset in the third decade of life and with cardinal clinical features including: bilateral cataracts, short stature, graying and thinning of scalp hair, characteristic skin pathologies and premature onset of additional age-related disorders."
903|Von Willebrand disease|http://who.int/icd#D68.0|Von Willebrand disease|"von Willebrand disease (VWD) is a hereditary bleeding disorder caused by a genetic anomaly leading to quantitative, structural or functional abnormalities of the Willebrand factor (von Willebrand factor; VWF). Two major groups of VWF deficiency have been defined: quantitative and partial (type 1) or total (type 3), and qualitative (type 2) with several subtypes (2A, 2B, 2M, 2N; see these terms). "
904|Williams syndrome|http://who.int/icd#19976_b047675b_e7d6_403d_8ca9_f59ab5570ff4|Williams-Beuren syndrome [7q11.23 deletion]|"Williams syndrome is a rare genetic disease characterised by a developmental disorder associating a cardiac malformation (most frequently supra valvular aortic stenosis, SVAS) in 75% of cases, psychomotor retardation, a characteristic facial dysmorphism and a specific cognitive and behavioural profile. "
905|Wilson disease|http://who.int/icd#1551_2985fd4a_87e8_4e76_ac83_2a5b74c14300|Wilson disease|"Wilson disease is an autosomal recessive disorder of copper metabolism characterised by the toxic accumulation of copper, mainly in the liver and central nervous system that may present as hepatic, neurologic or psychiatric forms. "
907|Wolff-Parkinson-White syndrome|http://who.int/icd#10920_ce88e999_ba9e_41b4_8d8a_b63046b652da|Wolff-Parkinson-White syndrome|"Wolff-Parkinson-White syndrome (WPW) is a supernormal conduction disorder; it is characterised by the presence of one or several accessory atrioventricular connections, which can lead to episodes of sporadic tachycardia. "
908|Fragile X syndrome|http://who.int/icd#Q99.2|Fragile X chromosome|Fragile X syndrome is a rare genetic disease associated with mild to severe intellectual deficit that may be associated with behavioral disorders and characteristic physical features. 
909|Cerebrotendinous xanthomatosis|http://who.int/icd#3476_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Cerebrotendinous xanthomatosis|"Cerebrotendinous xanthomatosis is an anomaly of bile acid synthesis  characterized by neonatal cholestasis, childhood-onset cataract, adolescent to young adult-onset tendon xanthomata, and brain xanthomata with adult-onset neurologic dysfunction. "
910|Xeroderma pigmentosum|http://who.int/icd#Q82.1|Xeroderma pigmentosum|"Xeroderma pigmentosum (XP) is a rare genodermatosis characterized by extreme sensitivity to ultraviolet (UV)-induced changes in the skin and eyes, and multiple skin cancers. It is subdivided into 8 complementation groups, according to the affected gene: XPA to XPG, and XP variant (XPV). The severity of the clinical manifestations and the age of onset are extremely variable and are in part dependent on exposure to sunlight and the complementation group. "
911|Combined immunodeficiency due to ZAP70 deficiency|http://who.int/icd#8349_6bc3f235_b24a_493e_a8a3_60cb9fb52dbd|Severe combined immunodeficiency [SCID] due to ZAP70 deficiency|"Zap-70 (zeta-chain-associated protein 70 kD) deficiency is an autosomal recessive form of severe combined immune deficiency (SCID) that is characterized by lack of CD8+ T cells and normal presence of circulating CD4+ T cells. The disease is extremely rare, with only 12 patients from 8 unrelated families reported so far. Nearly all patients with Zap-70 defects presented with typical clinical features of SCID in early life: severe pulmonary infection often sustained by opportunistic pathogens (Pneumocystis carinii), chronic diarrhoea, failure to thrive, and persistent candidiasis. Zap-70 deficiency is ultimately fatal unless patients undergo bone marrow transplantation (BMT). In the future, gene therapy could appear to be an alternative form of treatment. Most of the ZAP-70 gene defects identified in humans prevent protein expression and are concentrated in a region that is critical for stability and enzymatic activity. Mutations include insertions, deletions, and substitutions of a single nucleotide. Antenatal diagnosis by analysis of chorionic villi DNA can be carried out."
